"Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q3_11","Q3_12","Q3_13","Q3_14","Q3_15","Q3_16","Q3_17","Q5","Q4_2","Q4_5","Q4_7","Q4_9","Q4_11","Q4_13","Q4_14","Q4_23","Q4_25","Q4_28","leave_teaching","intrusion_score","avoidance_score","arousal_score","stss_total_score","proqol_sts_score"
1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"Continue teaching",4,2,1,1,1,1,1,1,1,1,0,6,7,5,18,14
1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,"Continue teaching",1,2,3,2,2,1,1,1,1,1,0,5,9,6,20,15
2,1,3,5,3,1,3,2,4,5,3,2,5,2,2,3,1,"Continue teaching",5,2,5,5,2,3,3,1,3,1,0,15,17,15,47,30
4,3,2,3,2,2,2,2,3,3,3,2,1,1,2,2,2,"Retire",3,1,5,1,1,3,2,1,1,1,1,11,16,12,39,19
3,3,1,3,3,2,3,1,3,4,3,1,1,1,3,1,1,"Continue teaching",5,2,1,3,4,3,1,1,2,1,0,11,15,11,37,23
1,1,1,3,4,3,1,1,1,1,1,1,1,1,2,3,1,"Continue teaching",2,3,1,1,1,1,1,2,1,1,0,7,10,10,27,14
3,3,1,4,3,2,4,2,4,4,4,1,1,2,3,2,3,"Continue teaching",5,3,4,2,2,1,1,2,1,2,0,11,20,15,46,23
3,3,2,4,3,4,3,3,4,4,2,1,2,3,2,3,1,"Continue teaching",4,4,3,3,3,2,1,1,1,4,0,15,18,14,47,26
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Leave the teaching profession",4,3,5,1,3,1,1,1,1,1,1,5,7,5,17,21
1,2,1,1,1,1,1,1,1,5,1,1,1,1,3,2,1,"Continue teaching",3,3,3,2,2,1,1,1,1,5,0,10,7,8,25,22
2,3,3,1,4,3,3,2,3,4,3,2,1,3,4,1,1,"Retire",2,1,2,1,3,3,3,2,2,4,1,14,18,11,43,23
3,2,2,3,4,1,3,4,4,4,4,2,2,3,4,2,2,"Retire",4,3,1,2,1,2,2,2,1,1,1,11,21,17,49,19
4,3,3,4,4,3,3,3,4,4,4,3,1,4,4,3,3,"Continue teaching",4,5,5,3,5,3,2,2,3,3,0,14,25,18,57,35
3,5,4,4,4,5,5,3,4,5,5,5,4,4,5,4,4,"Continue teaching",5,4,5,5,5,3,4,5,3,3,0,23,29,21,73,42
1,2,1,3,2,2,1,1,1,2,2,1,1,1,2,1,1,"Continue teaching",3,1,1,1,2,1,1,1,1,1,0,8,8,9,25,13
4,3,3,4,3,3,4,3,4,5,5,3,1,2,3,3,5,"Retire",4,5,2,4,4,3,3,3,2,3,1,15,25,18,58,33
3,2,2,4,2,1,1,1,5,3,2,1,2,1,1,1,1,"Continue teaching",2,1,1,2,1,1,2,1,1,1,0,10,14,9,33,13
3,4,1,3,5,3,3,1,3,5,3,4,2,4,3,3,1,"Continue teaching",4,2,5,2,4,2,1,1,4,1,0,15,23,13,51,26
2,1,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,"Continue teaching",3,2,2,2,2,2,2,1,1,5,0,10,14,10,34,22
2,1,2,1,3,1,3,1,1,3,1,1,1,3,2,1,1,"Leave the teaching profession",3,1,2,1,2,3,1,1,1,1,1,8,14,6,28,16
3,2,2,4,2,2,2,2,4,4,4,2,4,2,3,2,4,"Continue teaching",3,2,4,3,3,3,2,2,3,2,0,14,19,15,48,27
4,3,3,5,4,2,3,5,1,5,4,5,5,3,2,4,1,"Continue teaching",3,1,5,2,4,2,1,1,1,1,0,18,21,20,59,21
1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,"Continue teaching",3,2,2,1,1,1,2,1,1,1,0,7,7,7,21,15
1,2,1,3,1,2,1,1,3,2,2,3,2,2,2,1,1,"Continue teaching",5,2,3,1,2,2,1,5,2,1,0,9,12,9,30,24
5,5,4,4,4,4,2,3,3,5,5,5,3,5,5,5,3,"Leave the teaching profession",3,1,5,3,5,3,3,1,1,3,1,21,27,22,70,28
3,4,2,3,3,2,2,3,4,5,3,3,1,4,4,3,2,"Leave the teaching profession",5,4,3,3,4,3,2,2,1,3,1,14,21,16,51,30
2,1,2,1,2,3,1,1,2,3,1,1,2,1,3,2,1,"Continue teaching",4,4,3,2,1,3,1,1,1,1,0,11,10,8,29,21
1,1,1,2,3,2,2,2,2,3,3,1,1,2,3,3,2,"Continue teaching",5,2,4,2,2,2,1,1,2,2,0,8,13,13,34,23
4,3,3,5,4,4,3,3,3,4,4,3,1,3,3,3,1,"Continue teaching",3,2,3,1,1,4,3,3,2,1,0,15,21,18,54,23
2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"Continue teaching",3,1,1,1,1,1,1,1,1,1,0,5,8,6,19,12
3,2,2,3,4,2,3,2,4,3,3,2,2,2,3,2,3,"Continue teaching",3,3,3,2,2,2,2,2,3,2,0,11,21,13,45,24
1,1,1,3,3,1,1,1,1,5,1,1,1,4,1,1,1,"Continue teaching",5,2,4,1,2,3,2,1,1,1,0,9,12,7,28,22
2,2,4,3,2,2,1,2,3,3,3,2,2,1,3,2,2,"Continue teaching",3,3,2,2,3,2,2,1,2,2,0,13,13,13,39,22
3,4,2,1,3,2,4,1,4,2,4,1,3,1,4,1,4,"Continue teaching",2,2,2,1,1,1,1,1,1,1,0,13,20,11,44,13
3,2,3,4,2,2,3,3,2,4,3,1,1,2,2,4,3,"Become an administrator",4,3,4,3,3,3,3,2,2,3,1,12,16,16,44,30
2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,"Retire",2,4,2,1,2,1,1,1,1,1,1,7,9,8,24,16
5,3,1,5,5,3,4,3,3,4,4,2,2,3,4,2,1,"Other (explain)",4,1,3,1,4,2,2,2,1,2,1,13,23,18,54,22
1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,"Continue teaching",2,4,2,2,1,1,2,1,1,1,0,7,7,7,21,17
2,3,1,5,3,4,1,1,5,5,5,1,4,2,4,1,1,"Continue teaching",5,2,3,2,3,1,1,1,1,1,0,17,15,16,48,20
3,3,2,4,4,3,4,4,3,3,4,3,2,3,3,4,3,"Continue teaching",3,4,3,1,4,3,1,1,1,2,0,13,23,19,55,23
3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,4,2,"Continue teaching",3,3,3,2,2,2,2,2,2,1,0,15,22,17,54,22
3,4,3,3,4,4,4,3,4,4,5,3,3,4,5,5,5,"Continue teaching",4,4,5,2,5,2,2,1,2,3,0,18,27,21,66,30
1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,"Continue teaching",4,1,3,2,2,3,2,1,1,1,0,7,10,8,25,20
1,1,1,3,1,1,2,1,2,3,3,1,1,2,3,1,3,"Continue teaching",3,2,1,3,1,2,2,1,1,1,0,7,12,11,30,17
1,2,2,3,2,1,1,1,1,3,2,1,2,1,1,1,1,"Continue teaching",3,1,3,1,2,1,1,1,1,1,0,10,8,8,26,15
2,1,2,2,2,2,1,1,1,5,2,1,1,1,2,1,1,"Continue teaching",2,2,2,2,2,2,2,1,1,1,0,11,9,8,28,17
3,3,4,4,4,2,2,2,4,5,2,2,2,3,3,3,2,"Continue teaching",5,2,3,3,2,2,2,1,1,1,0,16,20,14,50,22
3,3,2,4,3,2,2,2,1,5,3,5,1,5,4,4,1,"Continue teaching",4,1,2,3,5,3,1,4,2,1,0,13,20,17,50,26
3,5,1,4,4,3,3,1,1,3,2,2,1,4,4,4,2,"Continue teaching",4,2,5,2,3,2,1,1,3,1,0,13,19,15,47,24
1,3,2,4,1,2,1,1,3,4,2,1,1,1,1,1,1,"Continue teaching",3,2,5,2,1,1,1,1,1,1,0,12,9,9,30,18
4,1,1,4,5,3,4,2,3,3,4,5,4,4,4,3,2,"Retire",3,3,5,4,5,4,2,3,2,2,1,12,27,17,56,33
3,2,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,"Retire",2,1,2,2,2,1,1,1,1,1,1,9,15,10,34,14
4,3,3,5,5,3,5,4,5,5,4,5,3,3,3,3,3,"Leave the teaching profession",5,4,5,3,4,3,2,2,2,2,1,17,30,19,66,32
2,2,2,4,2,2,1,1,1,3,3,1,1,1,2,1,2,"Retire",5,2,5,2,3,2,2,1,1,2,1,10,10,11,31,25
4,4,2,4,2,1,4,3,4,4,4,3,3,1,2,2,2,"Continue teaching",5,4,5,1,3,3,2,1,2,3,0,14,20,15,49,29
3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,"Leave the teaching profession",4,2,2,2,4,2,1,1,1,1,1,12,16,10,38,20
1,3,2,1,1,2,1,1,1,3,1,1,1,1,2,1,2,"Continue teaching",5,1,3,1,1,1,1,1,1,1,0,11,8,6,25,16
5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,4,"Continue teaching",4,3,5,4,4,4,4,3,2,3,0,24,32,25,81,36
3,3,2,1,1,1,1,3,4,5,3,2,1,3,4,4,2,"Continue teaching",4,4,4,1,4,1,1,4,2,2,0,12,16,15,43,27
5,3,3,4,2,3,4,4,2,3,4,2,2,2,2,1,4,"Retire",4,5,1,2,4,3,3,1,1,3,1,14,21,15,50,27
2,2,1,4,4,1,2,1,3,5,3,3,1,2,2,2,1,"Continue teaching",5,1,5,3,3,3,3,1,1,1,0,10,17,12,39,26
