Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q5,Q5_5_TEXT,Q6,Q7,Q7_1_TEXT,Q7_2_TEXT,Q8
Yes,Yes,Often (4),Very Often (5),Occasionally (3),Often (4),Occasionally (3),Often (4),Never (1),Rarely (2),Occasionally (3),Often (4),Often (4),Rarely (2),Never (1),Rarely (2),Very Often (5),Never (1),Occasionally (3),Often (4),Sometimes (3),Very Often (5),Often (4),Rarely (2),Very Often (5),Very Often (5),Rarely (2),Never (1),Rarely (2),Rarely (2),Often (4),Rarely (2),Never (1),Often (4),Rarely (2),Rarely (2),Sometimes (3),Very Often (5),Often (4),Very Often (5),Often (4),Never (1),Often (4),Never (1),Very Often (5),Often (4),Never (1),Often (4),Often (4),Retire,,,No (explain),,Not many of my students have experienced trauma in first grade,N/a
Yes,Yes,Occasionally (3),Occasionally (3),Rarely (2),Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Never (1),Occasionally (3),Occasionally (3),Often (4),Occasionally (3),Never (1),Occasionally (3),Occasionally (3),Never (1),Occasionally (3),Sometimes (3),Often (4),Very Often (5),Often (4),Rarely (2),Sometimes (3),Very Often (5),Never (1),Rarely (2),Very Often (5),Rarely (2),Sometimes (3),Sometimes (3),Rarely (2),Sometimes (3),Sometimes (3),Rarely (2),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Never (1),Sometimes (3),Never (1),Very Often (5),Rarely (2),Never (1),Very Often (5),Rarely (2),Leave the teaching profession,,Unhappy with worl load and expectations put on teachers. I can make more money and less work in other careers. This would allow me greater freedom.,No (explain),,"I love helping kids and making them feel seen, loved, and successful. Especially the students that need it the most.",If anything staying would allow me to help the students that I can reach. This may be one of the things that makes me stay. 
Yes,Yes,Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Often (4),Rarely (2),Often (4),Often (4),Often (4),Very Often (5),Often (4),Often (4),Occasionally (3),Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Often (4),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Very Often (5),Often (4),Sometimes (3),Sometimes (3),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Often (4),Sometimes (3),Very Often (5),Rarely (2),Sometimes (3),Often (4),Sometimes (3),Leave the teaching profession,,High Stress/Low Pay/No Respect from most parents and government officials ,No (explain),,"No. It is very stressful and emotionally draining to teach and love these types of students. However, being able to give them a safe space, clean clothes, food, love, and a belief that they are worth something is priceless. ","These students are my reason for teaching. These types of students are why I get up in the morning. They are why I work at such a low paying job where I am constantly disrespected. They are my reason for staying...every year I think I will never hear a story to top what my students have been through and the next year I’m proven wrong. I love spending my days with these children and helping them realize their self worth. It’s not always possible, but when you can tell they finally know they are loved it makes all the difference. "
Yes,Yes,Occasionally (3),Occasionally (3),Rarely (2),Occasionally (3),Rarely (2),Occasionally (3),Rarely (2),Occasionally (3),Occasionally (3),Very Often (5),Occasionally (3),Occasionally (3),Occasionally (3),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Sometimes (3),Often (4),Often (4),Often (4),Often (4),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Very Often (5),Often (4),Sometimes (3),Rarely (2),Rarely (2),Very Often (5),Never (1),Often (4),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Very Often (5),Sometimes (3),Rarely (2),Very Often (5),Often (4),Retire,,,Yes (explain),Society is not valuing children.  Too much social media,,
Yes,Yes,Rarely (2),Never (1),Never (1),Occasionally (3),Rarely (2),Never (1),Rarely (2),Occasionally (3),Rarely (2),Often (4),Occasionally (3),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Often (4),Rarely (2),Very Often (5),Often (4),Rarely (2),Sometimes (3),Often (4),Rarely (2),Rarely (2),Never (1),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Very Often (5),Often (4),Often (4),Often (4),Often (4),Often (4),Sometimes (3),Very Often (5),Never (1),Often (4),Never (1),Often (4),Often (4),Rarely (2),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,can't leave when it gets hard.  they need help someone to be there for them,
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Often (4),Often (4),Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Often (4),Occasionally (3),Often (4),Often (4),Often (4),Occasionally (3),Rarely (2),Occasionally (3),Occasionally (3),Occasionally (3),Occasionally (3),Sometimes (3),Often (4),Often (4),Very Often (5),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Very Often (5),Sometimes (3),Sometimes (3),Rarely (2),Often (4),Rarely (2),Rarely (2),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Often (4),Rarely (2),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Rarely (2),Very Often (5),Sometimes (3),Other (explain),Honestly... I have no idea.,,No (explain),,I think that is probably one of my reasons for staying.  I’m extremely empathetic to these students and I know I can help bring positivity to their lives.  It’s all the other things that makes me want to leave.,
Yes,Yes,Occasionally (3),Rarely (2),Occasionally (3),Often (4),Occasionally (3),Never (1),Rarely (2),Never (1),Rarely (2),Often (4),Often (4),Never (1),Never (1),Rarely (2),Occasionally (3),Never (1),Rarely (2),Very Often (5),Often (4),Very Often (5),Very Often (5),Never (1),Often (4),Never (1),Never (1),Never (1),Never (1),Never (1),Very Often (5),Rarely (2),Rarely (2),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Never (1),Very Often (5),Never (1),Often (4),Sometimes (3),Never (1),Often (4),Very Often (5),Become an administrator,,,No (explain),,,
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Sometimes (3),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Rarely (2),Often (4),Often (4),Often (4),Often (4),Often (4),Rarely (2),Often (4),Often (4),Sometimes (3),Rarely (2),Rarely (2),Rarely (2),Often (4),Sometimes (3),Very Often (5),Sometimes (3),Rarely (2),Sometimes (3),Rarely (2),Often (4),Rarely (2),Rarely (2),Often (4),Sometimes (3),Leave the teaching profession,,burnout/overload,No (explain),,"No, I am burntout",N/A
Yes,Yes,Often (4),Often (4),Occasionally (3),Very Often (5),Often (4),Often (4),Often (4),Occasionally (3),Very Often (5),Often (4),Very Often (5),Occasionally (3),Often (4),Occasionally (3),Often (4),Often (4),Very Often (5),Rarely (2),Often (4),Sometimes (3),Rarely (2),Sometimes (3),Rarely (2),Sometimes (3),Rarely (2),Sometimes (3),Often (4),Often (4),Rarely (2),Sometimes (3),Rarely (2),Sometimes (3),Rarely (2),Rarely (2),Rarely (2),Very Often (5),Rarely (2),Very Often (5),Sometimes (3),Sometimes (3),Rarely (2),Sometimes (3),Very Often (5),Rarely (2),Sometimes (3),Often (4),Rarely (2),Retire,,,Yes (explain),The trauma didn't juust affect the students; it affects everyone.,,"The plan for virtual instruction in Santa Rosa county is failing. Teachers were let go, and now the students are returning in droves to over-crowded classrooms and overworked teachers. Not really sure how they had planned on this transition, but this isn't working!"
Yes,Yes,Occasionally (3),Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Rarely (2),Rarely (2),Occasionally (3),Often (4),Very Often (5),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Occasionally (3),,Occasionally (3),Often (4),Very Often (5),Very Often (5),Very Often (5),Often (4),Very Often (5),Sometimes (3),Sometimes (3),Sometimes (3),Rarely (2),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Often (4),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Rarely (2),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Continue teaching,,,Yes (explain),"Yes, there needs to be positive influences in their lives. I get to be that stable environment for eight hours a day. ",,
Yes,Yes,Occasionally (3),Occasionally (3),Never (1),Often (4),Often (4),Often (4),Never (1),Rarely (2),Often (4),Very Often (5),Occasionally (3),Often (4),Occasionally (3),Never (1),Occasionally (3),Occasionally (3),Never (1),Sometimes (3),Rarely (2),Very Often (5),Sometimes (3),Often (4),Often (4),Very Often (5),Never (1),Never (1),Very Often (5),Often (4),Often (4),Never (1),Never (1),Sometimes (3),Often (4),Sometimes (3),Often (4),Very Often (5),Often (4),Very Often (5),Very Often (5),Never (1),Very Often (5),Sometimes (3),Very Often (5),Often (4),Never (1),Very Often (5),Often (4),Other (explain),Continue it or leave it... I fly rapidly between the two thoughts.,,No (explain),,I don't think student trauma affects me.  I have been able to mostly compartmentalize that aspect of teaching.  The ongoing stress I experience is from a multitude of directions in education.,"Teaching is hard, y'all."
Yes,Yes,Never (1),Never (1),Never (1),Very Often (5),Rarely (2),Never (1),Occasionally (3),Never (1),Rarely (2),Rarely (2),Rarely (2),Never (1),Never (1),Never (1),Occasionally (3),Never (1),Never (1),Very Often (5),Rarely (2),Very Often (5),Often (4),Never (1),Sometimes (3),Never (1),Never (1),Rarely (2),Never (1),Never (1),Very Often (5),Never (1),Never (1),Never (1),Very Often (5),Often (4),Very Often (5),Often (4),Very Often (5),Sometimes (3),Very Often (5),Never (1),Very Often (5),Never (1),Sometimes (3),Very Often (5),Never (1),Often (4),Very Often (5),Continue teaching,,,No (explain),,,
Yes,Yes,Often (4),Often (4),Occasionally (3),Often (4),Very Often (5),Occasionally (3),Often (4),Often (4),Occasionally (3),Often (4),Often (4),Often (4),Occasionally (3),Occasionally (3),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Rarely (2),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Often (4),Often (4),Sometimes (3),Often (4),Sometimes (3),Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Often (4),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Often (4),Retire,,,,,,
Yes,Yes,Occasionally (3),Rarely (2),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Very Often (5),Often (4),Often (4),Often (4),Sometimes (3),Sometimes (3),Rarely (2),Never (1),Never (1),Sometimes (3),Sometimes (3),Often (4),Sometimes (3),Rarely (2),Very Often (5),Often (4),Often (4),Often (4),Very Often (5),Very Often (5),Sometimes (3),Often (4),Never (1),Often (4),Never (1),Very Often (5),Very Often (5),Never (1),Often (4),Often (4),Retire,,,No (explain),,Children have always faced trauma.  We just know more about it these days because of oversharing and instant communication.  There have always been and always will be kids that don't have a fair shake in life.,Life is not fair.  A fair is where you go to win blue ribbons.  You must teach children no matter what issues or circumstances they come to us with in the classroom.  We must teach them to push forward and don't let your past define you.
Yes,Yes,Never (1),Rarely (2),Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Never (1),Rarely (2),Never (1),Occasionally (3),Very Often (5),Sometimes (3),Often (4),Very Often (5),Rarely (2),Often (4),Never (1),Never (1),Never (1),Never (1),Rarely (2),Very Often (5),Never (1),Never (1),Very Often (5),Often (4),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Rarely (2),Often (4),Never (1),Very Often (5),Never (1),Sometimes (3),Very Often (5),Never (1),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,I always strive to make an impact and let my students know ,Working with trauma affected students allow me to feel closer to my students. 
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Never (1),Often (4),Occasionally (3),Very Often (5),Very Often (5),Often (4),Rarely (2),Never (1),Never (1),Very Often (5),Never (1),Never (1),Very Often (5),Very Often (5),Occasionally (3),Often (4),Never (1),Often (4),Very Often (5),Sometimes (3),Often (4),Very Often (5),Sometimes (3),Very Often (5),Never (1),Never (1),Often (4),Very Often (5),Sometimes (3),Rarely (2),Never (1),Never (1),Sometimes (3),Rarely (2),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Never (1),Sometimes (3),Very Often (5),Very Often (5),Rarely (2),Rarely (2),Often (4),Sometimes (3),Leave the teaching profession,,"It's unfortunately, not worth the stress it has put on my body. ",Yes (explain),"Yes, being able to be ""that"" person for the student or be their safe space is a very humbling feeling. ",,"Many times, we are not told of the traumatic incidences unless the student tells us. If administration told us, we would be better equipped with the information to modify how we are interacting with the child and be be able to take these events into account. "
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Very Often (5),Very Often (5),Occasionally (3),Often (4),Very Often (5),Often (4),Often (4),Often (4),Very Often (5),Very Often (5),Often (4),Often (4),Occasionally (3),Rarely (2),Very Often (5),Very Often (5),Often (4),Sometimes (3),Very Often (5),Very Often (5),Often (4),Often (4),Often (4),Very Often (5),Rarely (2),Sometimes (3),Often (4),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Often (4),Sometimes (3),Often (4),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Often (4),Continue teaching,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Never (1),Occasionally (3),Never (1),Very Often (5),Rarely (2),Never (1),Rarely (2),Occasionally (3),Often (4),Very Often (5),Occasionally (3),Never (1),Never (1),Rarely (2),Occasionally (3),Never (1),Never (1),Often (4),Often (4),Often (4),Sometimes (3),Rarely (2),Sometimes (3),Often (4),Never (1),Never (1),Rarely (2),Sometimes (3),Sometimes (3),Never (1),Never (1),Often (4),Often (4),Sometimes (3),Sometimes (3),Very Often (5),Often (4),Often (4),Often (4),Never (1),Sometimes (3),Never (1),Often (4),Sometimes (3),Never (1),Often (4),Often (4),Become an administrator,,,No (explain),,I enjoy helping others.,n/a
Yes,Yes,Rarely (2),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Rarely (2),Never (1),Very Often (5),Occasionally (3),Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Never (1),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Often (4),Often (4),Rarely (2),Rarely (2),Rarely (2),Never (1),Very Often (5),Rarely (2),Rarely (2),Often (4),Often (4),Often (4),Often (4),Often (4),Often (4),Rarely (2),Very Often (5),Never (1),Often (4),Never (1),Sometimes (3),Often (4),Rarely (2),Often (4),Often (4),Continue teaching,,,No (explain),,I don't plan to leave the profession. ,I empathize with them and do my best to help them through the traumatic event. 
Yes,Yes,Often (4),Often (4),Rarely (2),Very Often (5),Occasionally (3),Occasionally (3),Rarely (2),Occasionally (3),Never (1),Often (4),Often (4),Rarely (2),Never (1),Occasionally (3),Occasionally (3),Rarely (2),Occasionally (3),Often (4),Sometimes (3),Often (4),Sometimes (3),Never (1),Sometimes (3),Often (4),Rarely (2),Rarely (2),Sometimes (3),Often (4),Often (4),Rarely (2),Rarely (2),Often (4),Sometimes (3),Sometimes (3),Often (4),Often (4),Often (4),Often (4),Often (4),Rarely (2),Often (4),Never (1),Often (4),Often (4),Rarely (2),Often (4),Often (4),Continue teaching,,,No (explain),,Just work through it,
Yes,Yes,Rarely (2),Never (1),Never (1),Occasionally (3),Occasionally (3),Rarely (2),Never (1),Never (1),Never (1),Occasionally (3),Never (1),Never (1),Never (1),Occasionally (3),Very Often (5),Never (1),Rarely (2),Sometimes (3),Very Often (5),Often (4),Often (4),Rarely (2),Sometimes (3),Very Often (5),Never (1),Never (1),Rarely (2),Sometimes (3),Rarely (2),Never (1),Never (1),Very Often (5),Often (4),Often (4),Often (4),Very Often (5),Sometimes (3),Very Often (5),Often (4),Never (1),Very Often (5),Never (1),Very Often (5),Very Often (5),Never (1),Sometimes (3),Sometimes (3),Continue teaching,,,No (explain),,I don't get close enough to students to allow them to share their experiences often.,The experiences of my students in no way effects my decision to be a teacher.
Yes,Yes,Rarely (2),Often (4),Rarely (2),Often (4),Often (4),Occasionally (3),Often (4),Occasionally (3),Rarely (2),Very Often (5),Often (4),Never (1),Never (1),Occasionally (3),Occasionally (3),Often (4),Never (1),Often (4),Never (1),Rarely (2),Rarely (2),Sometimes (3),Rarely (2),Very Often (5),Never (1),Rarely (2),Very Often (5),Sometimes (3),Rarely (2),Rarely (2),Never (1),Very Often (5),Rarely (2),Rarely (2),Sometimes (3),Sometimes (3),Very Often (5),Often (4),Sometimes (3),Never (1),Rarely (2),Never (1),Rarely (2),Rarely (2),Never (1),Very Often (5),Sometimes (3),Leave the teaching profession,,Teaching does not ignite my soul; self-contained ESE is not for me,No (explain),,I cannot be everything to everyone and I need to consider my happiness and my family's happiness.,
Yes,Yes,Occasionally (3),Occasionally (3),Rarely (2),Rarely (2),Often (4),Rarely (2),Rarely (2),Rarely (2),Very Often (5),Occasionally (3),Occasionally (3),Never (1),Never (1),Occasionally (3),Occasionally (3),Occasionally (3),Occasionally (3),Often (4),Never (1),Very Often (5),Very Often (5),Rarely (2),Very Often (5),Often (4),Rarely (2),Never (1),Sometimes (3),Often (4),Often (4),Never (1),Never (1),Very Often (5),Rarely (2),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Never (1),Very Often (5),Never (1),Very Often (5),Very Often (5),Never (1),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,I would stay no matter what.  I love my job.  ,"The biggest problem facing teachers, in my opinion is the stress from the workload.  I am fine dealing with my students - even those who have suffered trauma.  I just feel I am unable to sufficiently help them and other students simply because of the demands I face.  I cannot handle everything on my plate and be as effective as I would like to be. "
Yes,Yes,Occasionally (3),Rarely (2),Rarely (2),Often (4),Often (4),Occasionally (3),Often (4),Often (4),Often (4),Often (4),Often (4),Occasionally (3),Rarely (2),Occasionally (3),Often (4),Rarely (2),Often (4),Sometimes (3),Rarely (2),Often (4),Often (4),Sometimes (3),Sometimes (3),Very Often (5),Rarely (2),Rarely (2),Sometimes (3),Often (4),Often (4),Sometimes (3),Rarely (2),Very Often (5),Very Often (5),Sometimes (3),Often (4),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Rarely (2),Very Often (5),Rarely (2),Very Often (5),Often (4),Rarely (2),Often (4),Very Often (5),Continue teaching,,,No (explain),,"Everyone endures certain issues.  Unless there are things that interfered with my duties, but you cannot quit a job because of that.  There would be no where to work.",
Yes,Yes,Occasionally (3),Rarely (2),Never (1),Occasionally (3),Rarely (2),Never (1),Never (1),Rarely (2),Rarely (2),Often (4),Rarely (2),Never (1),Occasionally (3),Rarely (2),Occasionally (3),Rarely (2),Never (1),Often (4),Often (4),Very Often (5),Very Often (5),Sometimes (3),Often (4),Rarely (2),Never (1),Never (1),Rarely (2),Rarely (2),Sometimes (3),Rarely (2),Never (1),Very Often (5),Sometimes (3),Often (4),Sometimes (3),Often (4),Sometimes (3),Very Often (5),Often (4),Never (1),Very Often (5),Never (1),Often (4),Often (4),Rarely (2),Sometimes (3),Often (4),Continue teaching,,,No (explain),,"No, I like helping others.",
Yes,Yes,Occasionally (3),Rarely (2),Rarely (2),Occasionally (3),Occasionally (3),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Very Often (5),Sometimes (3),Often (4),Often (4),Rarely (2),Often (4),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Rarely (2),Very Often (5),Very Often (5),Very Often (5),Sometimes (3),Often (4),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Often (4),Rarely (2),Often (4),Often (4),Retire,,,No (explain),,There is always going to be students with trauma or personal problems. This has never affected me. I do what I must do to help them and then step back and take care of myself. If I fail physically or mentally then all of the work I did will fail. ,
Yes,Yes,Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Never (1),Rarely (2),Never (1),Rarely (2),Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Rarely (2),Never (1),Often (4),Sometimes (3),Very Often (5),Often (4),Rarely (2),Often (4),Rarely (2),Never (1),Never (1),Never (1),Never (1),Very Often (5),Rarely (2),Never (1),Often (4),Often (4),Often (4),Often (4),Rarely (2),Often (4),Rarely (2),Very Often (5),Rarely (2),Often (4),Never (1),Sometimes (3),Sometimes (3),Never (1),Often (4),Often (4),Continue teaching,,,No (explain),,"""The value of a life is always determined by how much you give it away.""  Andy Stanley","""There are two kinds of worries... Those you can do something about, and those you cannot. Don't spend time on the latter."" Duke Ellington"
Yes,Yes,Occasionally (3),Occasionally (3),Occasionally (3),Often (4),Often (4),Occasionally (3),Occasionally (3),Often (4),Often (4),Often (4),Rarely (2),Rarely (2),Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Occasionally (3),Sometimes (3),Very Often (5),Often (4),Often (4),Often (4),Sometimes (3),Sometimes (3),Rarely (2),Rarely (2),Sometimes (3),Sometimes (3),Often (4),Rarely (2),Rarely (2),Often (4),Sometimes (3),Sometimes (3),Often (4),Very Often (5),Often (4),Very Often (5),Often (4),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Often (4),Rarely (2),Very Often (5),Sometimes (3),Continue teaching,,,No (explain),,"No, I separate myself from my students' experiences even if I am working them through it. ",
Yes,Yes,Often (4),Occasionally (3),Occasionally (3),Often (4),Very Often (5),Rarely (2),Occasionally (3),Often (4),Very Often (5),Very Often (5),Often (4),Rarely (2),Never (1),Occasionally (3),Often (4),Very Often (5),Never (1),Sometimes (3),Often (4),Sometimes (3),Sometimes (3),Often (4),Often (4),Often (4),Never (1),Often (4),Very Often (5),Very Often (5),Sometimes (3),Often (4),Never (1),Sometimes (3),Often (4),Very Often (5),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Never (1),Sometimes (3),Rarely (2),Very Often (5),Rarely (2),Very Often (5),Very Often (5),Rarely (2),Continue teaching,,,No (explain),,Trauma is part of life it doesn't make me not want to teach.,I think this is an increasingly difficult profession and this year has made the entire process unbearable.  We can't teach how we are used to and we are under constant attack.  I've taught for almost 20 years and this year is the worst. 
Yes,Yes,Rarely (2),Rarely (2),Never (1),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Never (1),Rarely (2),Often (4),Rarely (2),Never (1),Rarely (2),Rarely (2),Rarely (2),Never (1),Never (1),Often (4),Rarely (2),Very Often (5),Very Often (5),Never (1),Sometimes (3),Very Often (5),Never (1),Never (1),Never (1),Never (1),Very Often (5),Never (1),Never (1),Often (4),Often (4),Often (4),Often (4),Rarely (2),Often (4),Often (4),Often (4),Never (1),Often (4),Never (1),Sometimes (3),Often (4),Never (1),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,No.,
Yes,Yes,Occasionally (3),Occasionally (3),Never (1),Very Often (5),Often (4),Never (1),Never (1),Never (1),Often (4),Often (4),Often (4),Very Often (5),Often (4),Often (4),Often (4),Never (1),Often (4),Often (4),Very Often (5),Often (4),Often (4),Never (1),Rarely (2),Very Often (5),Never (1),Never (1),Often (4),Very Often (5),Very Often (5),Never (1),Never (1),Rarely (2),Never (1),Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Very Often (5),Never (1),Often (4),Never (1),Very Often (5),Rarely (2),Never (1),Often (4),Very Often (5),Continue teaching,,,Yes (explain),Yes because i sometimes feed off the fact I can make a difference. ,,NA
Yes,Yes,Rarely (2),Rarely (2),Occasionally (3),Often (4),Often (4),Occasionally (3),Occasionally (3),Never (1),Never (1),Very Often (5),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Occasionally (3),Rarely (2),Occasionally (3),Sometimes (3),Very Often (5),Often (4),Often (4),Rarely (2),Sometimes (3),Very Often (5),Rarely (2),Sometimes (3),Rarely (2),Sometimes (3),Often (4),Rarely (2),Rarely (2),Often (4),Often (4),Sometimes (3),Often (4),Very Often (5),Often (4),Often (4),Very Often (5),Rarely (2),Very Often (5),Never (1),Often (4),Very Often (5),Never (1),Very Often (5),Sometimes (3),Continue teaching,,,Yes (explain),I believe I am an eternal advocate for them. ,,
Yes,Yes,Rarely (2),Occasionally (3),Occasionally (3),Very Often (5),Often (4),Occasionally (3),Occasionally (3),Occasionally (3),Occasionally (3),Occasionally (3),Occasionally (3),Rarely (2),Never (1),Occasionally (3),Occasionally (3),Occasionally (3),Never (1),Often (4),Often (4),Very Often (5),Very Often (5),Rarely (2),Often (4),Often (4),Rarely (2),Rarely (2),Sometimes (3),Sometimes (3),Sometimes (3),Rarely (2),Never (1),Very Often (5),Often (4),Sometimes (3),Sometimes (3),Very Often (5),Often (4),Often (4),Often (4),Never (1),Often (4),Never (1),Very Often (5),Often (4),Never (1),Very Often (5),Often (4),Continue teaching,,,No (explain),,,
Yes,Yes,Often (4),Rarely (2),Rarely (2),Often (4),Often (4),Occasionally (3),Often (4),Occasionally (3),Often (4),Often (4),Often (4),Often (4),Occasionally (3),Occasionally (3),Often (4),Rarely (2),Often (4),Sometimes (3),Rarely (2),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Rarely (2),Never (1),Rarely (2),Often (4),Rarely (2),Sometimes (3),Never (1),Never (1),Never (1),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Sometimes (3),Rarely (2),Sometimes (3),Sometimes (3),Rarely (2),Often (4),Sometimes (3),Continue teaching,,,,,,
